,0
name,0
host_name,0
host_since,0
host_location,0
host_about,0
host_response_time,0
host_is_superhost,0
host_neighbourhood,0
host_identity_verified,0
neighbourhood_cleansed,0
property_type,0
room_type,0
last_review,0
license,0
instant_bookable,0
host_response_rate,0
host_listings_count,0
host_total_listings_count,0
latitude,0
longitude,0
accommodates,0
bathrooms,0
bedrooms,0
beds,0
price,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,0
maximum_minimum_nights,0
minimum_maximum_nights,0
maximum_maximum_nights,0
minimum_nights_avg_ntm,0
maximum_nights_avg_ntm,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
review_scores_rating,0
review_scores_cleanliness,0
review_scores_checkin,0
review_scores_location,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_entire_homes.1,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,0
